provider_code,p92_wait_time,pct_change_last_month,waiting_list_change,Random Forest,Treatment_Function,current_pct,total_waiting
RFS,41.4,1.956735273,10,0,Rheumatology Service,52.7404,967
RGM,31.7,3.03572703,-26,0,Cardiothoracic Surgery Service,70.639,579
RGN,29.5,1.692081327,-69,0,Elderly Medicine Service,74.9064,267
RGN,NULL,0,-3,0,General Internal Medicine Service,100,3
RGN,NULL,0,-6,0,Other - Mental Health Services,100,5
RGN,40.4,7.502766219,149,0,Other - Other Services,55.8589,879
RGN,11,-0.321903015,-98,0,Other - Surgical Services,96.4384,365
RGP,27.1,-5.531914894,-8,0,Elderly Medicine Service,74.4681,47
RGP,38.3,-15.98087511,1,0,General Internal Medicine Service,44.1176,204
RGP,42.5,-3.985209184,34,0,Oral Surgery Service,45.8468,927
RGP,27.5,-6.588472079,20,0,Other - Medical Services,74.9601,627
RGP,NULL,0,0,0,Other - Other Services,100,1
RGP,54.7,5.226181301,-35,0,Plastic Surgery Service,47.3054,167
RGP,19.1,-2.502297307,28,0,Rheumatology Service,91.1854,329
RGR,NULL,8.888888889,6,0,Elderly Medicine Service,86.6667,15
RGR,33.5,-4.755583999,52,0,General Internal Medicine Service,62.7371,738
RGR,NULL,0,0,0,Other - Mental Health Services,12.5,8
RGR,49.4,1.09009009,-2,0,Other - Other Services,31.7568,148
RGR,21,2.956694873,42,0,Rheumatology Service,89.8955,287
RGT,19.5,-0.594405594,-21,0,Elderly Medicine Service,88.6364,44
RGT,56.2,-2.067908084,22,0,General Internal Medicine Service,39.028,679
RGT,41.2,-13.75661376,-6,0,Other - Mental Health Services,38.0952,21
RGT,37.8,3.116680154,103,0,Other - Other Services,73.6064,879
RGT,19.5,3.46197762,-57,0,Respiratory Medicine Service,89.6689,755
RH5,35.9,2.5,0,0,Cardiothoracic Surgery Service,62.5,40
RH5,37.9,-1.263537906,0,0,Elderly Medicine Service,72.0217,554
RH5,32.9,7.840258406,-8,0,Plastic Surgery Service,69.0647,139
RH5,32,-1.909527856,-32,0,Rheumatology Service,65.9176,801
RH8,NULL,0,0,0,Cardiothoracic Surgery Service,100,1
RH8,18.8,4.539951574,26,0,Elderly Medicine Service,90.2542,236
RH8,36.2,6.492248062,-44,0,General Internal Medicine Service,77.3256,172
RH8,30.1,1.289137727,80,0,Rheumatology Service,80.0322,621
RHM,21.2,5.140593294,27,0,Elderly Medicine Service,89.8734,158
RHM,31,1.428571429,-7,0,General Internal Medicine Service,71.4286,63
RHM,20.5,1.859724906,-12,0,Other - Other Services,90.2808,463
RHQ,18.9,1.220125786,-5,0,Cardiothoracic Surgery Service,89.3333,525
RHQ,13,5.172413793,5,0,Elderly Medicine Service,100,63
RHU,9.3,0.5702067,-15,0,Elderly Medicine Service,95.6522,46
RHU,NULL,0,0,0,General Internal Medicine Service,100,1
RHU,20.4,-0.080594185,-5,0,Other - Paediatric Services,90.8929,560
RHU,48.6,5.181412312,-39,0,Other - Surgical Services,36.8421,798
RHU,17.1,-1.552923149,-35,0,Respiratory Medicine Service,94.3452,672
RHU,7.4,0.380276658,12,0,Rheumatology Service,99.6503,286
RHW,27.5,-1.299053473,80,0,Other - Other Services,73.4114,598
RHW,29.3,-15.01831502,-5,0,Other - Surgical Services,61.9048,21
RHW,26.1,-0.094507691,-15,0,Plastic Surgery Service,78.0405,296
RHW,21.7,-3.082087275,35,0,Rheumatology Service,82.7586,261
RJ1,32.6,-10.13412817,-6,0,Cardiothoracic Surgery Service,63.6364,55
RJ1,22.3,-4.216672933,83,0,Elderly Medicine Service,83.6972,687
RJ1,23,4.141797793,-6,0,General Internal Medicine Service,84.2105,285
RJ1,37.5,4.766620099,-29,0,General Surgery Service,74.6803,782
RJ1,32.7,12.5,4,0,Other - Mental Health Services,62.5,32
RJ1,11.6,0.00498132,-90,0,Rheumatology Service,98.9091,275
RJ2,13.8,1.16108453,16,0,Elderly Medicine Service,97.3333,225
RJ2,NULL,0.784313725,-13,0,Other - Other Services,94.1176,17
RJ2,NULL,40,-7,0,Plastic Surgery Service,100,8
RJ6,16.3,1.452478283,-64,0,Cardiology Service,95.2632,760
RJ6,18.9,-2.954327691,16,0,Elderly Medicine Service,90.5941,202
RJ6,13.2,0,0,0,General Internal Medicine Service,100,22
RJ6,16.8,2.281204512,47,0,Neurology Service,94.4687,687
RJ6,30.9,-4.557223152,27,0,Other - Paediatric Services,73.1419,592
RJ6,42.9,11.32452981,2,0,Plastic Surgery Service,72.549,51
RJ6,30.1,2.192880197,10,0,Rheumatology Service,66.6328,983
RJ7,19.2,0.362318841,2,0,Elderly Medicine Service,91.6667,48
RJ7,34.7,0.966183575,16,0,General Internal Medicine Service,69.4444,108
RJ7,26.2,10.72708114,8,0,Ophthalmology Service,75.3425,73
RJ8,10.1,1.499466775,99,0,Other - Medical Services,99.7389,383
RJ8,9.4,0.04626952,4,0,Trauma and Orthopaedic Service,98.9474,95
RJC,14,0.083333333,4,0,Elderly Medicine Service,98,100
RJC,17.8,0.852514919,10,0,General Internal Medicine Service,92.1569,102
RJC,10.8,0.850304489,39,0,Other - Other Services,97.7199,614
RJC,48,-0.687998962,-8,0,Other - Paediatric Services,62.6761,426
RJC,32,0.924779978,-15,0,Plastic Surgery Service,58.6806,288
RJC,25.7,-0.822582554,-21,0,Rheumatology Service,85.2941,476
RJE,14.3,0,4,0,Elderly Medicine Service,100,37
RJE,35.8,0.983090484,-13,0,Other - Other Services,71.8654,327
RJE,35.4,-5.067567568,-5,0,Other - Surgical Services,62.5,32
